Name;Country;LoansAdvances;AssetRepos;BankDeposits;LiabilityRepos;OtherDepositsShortBorrowings;LongFunding;CustomerDeposits;TradingLiabilities;TotalAssetes;LiquidAssets;Loans;Intangibles;NetInterestIncome;OperatingIncome;Equity;Goodwill
JPMORGAN CHASE & CO;US;632531000;388915000;183675000;183675000;90833000;267931000;1562431000;75629000;2687380000;1015647000;980365000;53341000;57595000;116211000;261533000;47823000
INDUSTRIAL & COMMERCIAL BANK OF CHINA (THE) - ICBC;CN;270400455;120965506;362224556;37680406;63025189;110548017;3288629567;2477887;4309351040;745291248;2336704143;3772578;86865034;111424358;385287387;1362101
JAPAN POST HOLDING CO LTD;JP;133694816;119927318;196551516;196551516;2519559;1180534;1668609616;n.a.;2632000541;626830877;97658136;2683468;n.a.;110019056;116069682;23459
CHINA CONSTRUCTION BANK CO., LTD;CN;216048946;79835265;409094314;16410190;141831972;55719908;2628637874;n.a.;3640512489;651773287;2081103029;3155718;73090024;98002289;319897950;402032
BANK OF AMERICA CORPORATION;US;412113000;274597000;165109000;165109000;101396000;216706000;1434806000;83270000;2434080000;682918000;1019182000;72157000;49667000;90364000;264844000;68951000
AGRICULTURAL BANK OF CHINA LIMITED;CN;210177900;101409903;356519962;7613711;85572062;121824101;2653908806;6011;3560653752;666227416;1834780289;3506369;69682410;86739086;280486902;197653
WELLS FARGO & COMPANY;US;225074000;104974000;92403000;92403000;51507000;194090000;1322960000;17430000;1927550000;354976000;973227000;41920000;47768000;85256000;187984000;28033000
BANK OF CHINA LIMITED;CN;200303276;22096322;512044650;25391441;n.a.;103339057;2263853993;2787319;3258872733;713776721;1823876468;3283383;53563761;75143838;282910545;384428
CITIGROUP INC;US;425716000;251322000;166339000;166339000;82104000;215050000;1070646000;72496000;1951160000;668918000;705334000;26948000;46592000;74717000;193946000;22126000
HSBC HOLDINGS PLC;GB;364169000;290010000;261387000;197548000;62890000;81418000;1439115000;236529000;2715152000;1179663000;1041299000;20163000;30462000;58452000;192668000;5590000
BANCO SANTANDER SA;ES;45995360;n.a.;171845352;n.a.;98457010;229672360;886865768;80165814;1710595340;412128224;1053100861;31103572;39636917;57705680;124314304;27237953
BNP PARIBAS;FR;241677011;218537220;335415741;244528199;n.a.;204199268;936345914;150087344;2431838268;627079552;905389508;13108953;23734069;50758576;125646657;8781617
MITSUBISHI UFJ FINANCIAL GROUP, INC.;JP;276338418;253625556;335067656;301294886;181679316;379957244;1726067686;39903258;3096332940;1084234840;997000688;13784793;17413220;43676340;155066583;2609678
AMERICAN EXPRESS COMPANY;US;20694000;87000;0;0;15134000;49926000;75407000;0;198314000;24307000;146380000;3582000;8620000;43579000;23128000;3315000
BANCO BRADESCO SA;BR;14603482;11979494;49889584;43199925;6798256;49867962;91271584;n.a.;337246976;77927980;85688740;2859177;19661325;43005459;33181117;962430
MORGAN STANLEY;US;260244000;194773000;62705000;62705000;31943000;180160000;190356000;81046000;895429000;502446000;172309000;9251000;6669000;41518000;82697000;7143000
POSTAL SAVINGS BANK OF CHINA CO LTD;CN;63741806;21095463;27555031;14120223;n.a.;12101617;1333056521;n.a.;1462245013;154698438;688143975;294833;34381565;39661657;77984685;n.a.
CHINA MERCHANTS BANK CO LTD;CN;74782739;15594819;213710317;9050093;3831974;31097610;697721619;6106627;1061577205;215424787;612179757;2079433;24773150;38577787;88408043;1424646
GOLDMAN SACHS GROUP, INC;US;343338000;221469000;132590000;132590000;53592000;221076000;189690000;65389000;992996000;695318000;145108000;4838000;4367000;36788000;92059000;4196000
SUMITOMO MITSUI FINANCIAL GROUP, INC;JP;153808119;126576996;178142223;143730640;123284632;241829272;1168741687;18514058;2022663529;747381783;754723227;6932650;11744195;34838060;99217133;1787387
SBERBANK OF RUSSIA;RU;28246188;15581764;13549641;5198229;n.a.;23479260;348063276;n.a.;483944145;100693478;328943873;1486131;23689257;33685106;72476366;219689
ROYAL BANK OF CANADA;CA;274266709;245129172;204082061;184484037;n.a.;7458206;653658035;29110941;1085816837;449441476;470255305;12089665;15006838;31851823;63544831;8537994
BANK OF COMMUNICATIONS CO. LTD;CN;92855159;2226277;272517816;15293831;73333762;58717904;869172455;1944755;1417718607;262257762;741899664;534421;20621583;31690997;114628881;61543
TORONTO DOMINION BANK;CA;145530391;126090422;108363979;95635256;n.a.;18853343;661265938;150817625;1075448296;351240111;521583571;14801671;18184650;29737081;66642095;12899696
BANCO BILBAO VIZCAYA ARGENTARIA SA;ES;15362493;2070426;62050991;3626335;2187260;85123377;431030549;72598592;784908244;223098224;430773291;7824480;20448124;29825143;61703860;5566446
ITAU UNIBANCO HOLDINGS SA;BR;57817671;49236494;64416266;63666657;n.a.;98306988;125068606;49875;406312737;154118505;136413982;4892931;15961142;29199027;37087168;2768666
CAPITAL ONE FINANCIAL CORPORATION;US;9658710;0;313757;313757;16931100;40294450;262705043;0;390365000;13715650;259001183;15127152;23339433;28591240;58010498;14653300
BARCLAYS PLC;GB;253436524;240808393;296572143;276082921;34935994;91145876;525365178;147872744;1496151484;734210909;409048329;10653346;12343395;28464470;86155769;5116073
SOCIETE GENERALE;FR;211000331;168088703;245666203;130246979;n.a.;159392465;460427677;143923249;1523670592;515650643;508965291;7852565;12565227;27570479;77031528;5197971
SHANGHAI PUDONG DEVELOPMENT BANK;CN;39990697;411192;232485328;32572348;102189494;44512809;524093597;255904;1002709165;132938742;562537564;2481466;18441391;27291827;80299269;999141
CHINA CITIC BANK CORPORATION LIMITED;CN;48060397;1424646;199770572;16006584;63205238;31423357;582976665;121225;966141826;185579217;557120647;398741;18215400;26904680;76216401;130528
DEUTSCHE BANK AG;DE;115446186;97654902;138125382;51785363;42245451;119191601;556477241;130881700;1457806782;458080895;479490649;7896378;15445625;26779606;69830535;3236515
STATE BANK OF INDIA;IN;22402574;n.a.;6075957;n.a.;n.a.;39519183;432884420;n.a.;556800710;44551073;304138323;205607;14422837;26142062;34357080;205607
INDUSTRIAL BANK CO LTD;CN;51638757;5991269;349044079;27681694;683126;34849005;543127517;603120;1022710882;158892513;493982105;168742;14739945;25949334;78667811;76141
CHINA MINSHENG BANKING CORPORATION;CN;52624731;9417346;292930726;14556319;14167454;39766280;520543004;741949;956324737;210870758;507659935;209246;14017890;25439387;75973808;29483
LLOYDS BANKING GROUP PLC;GB;84880359;73683783;64465930;50757899;25310061;127769294;540330249;13696222;1094192701;382040346;591834761;8046104;13357687;24089762;62728643;3049437
BANK OF NOVA SCOTIA (THE) - SCOTIABANK;CA;126895133;99679328;129803948;94287991;2045593;5510638;521771261;30641336;825350280;280857894;450215032;13271276;13052431;23582066;53337384;7318389
CREDIT AGRICOLE S.A.;FR;614021152;128848346;247450162;117473923;n.a.;251878605;724980479;82556408;1985769888;1226479654;443840678;20718864;12856188;23051042;79585016;17165550
