Name;LoansAdvances;AssetRepos;LiabilityRepos;BankDeposits;OtherDepositsShortBorrowings;LongFunding;CustomerDeposits;LiquidAssets;Loans;Intangibles;NetInterestIncome;OperatingIncome;Equity;Goodwill;TotalAssetes
1ST SOURCE CORPORATION;21781;0;120459;120459;28936;151220;5357330;88996;4994553;88171;223866;327299;848636;83866;6623270
ABN AMRO BANK NV;23576793;18276592;9909510;23611618;n.a.;94990198;263988855;106118597;301185748;199965;7266150;9548899;24120518;123574;421335609
ABSA GROUP LIMITED;7964256;5004869;4497723;9808391;3695330;9505373;57477139;25997784;62297488;734374;3315451;5726267;9174904;60960;99759072
ABU DHABI COMMERCIAL BANK;6564033;283578;231738;1792739;818062;13700703;71366584;28871619;68078236;1452007;2039081;3194384;15166138;1255731;110315772
ACLEDA BANK PLC;120101;n.a.;n.a.;285175;n.a.;735191;4082723;1009656;3846021;9000;326670;385242;964462;n.a.;6175162
AGRICULTURAL BANK OF CHINA LIMITED;210177900;101409903;7613711;356519962;85572062;121824101;2653908806;666227416;1834780289;3506369;69682410;86739086;280486902;197653;3560653752
AHLI BANK QSC;800360;n.a.;n.a.;1220668;5495;1959783;7005454;1203767;8678876;n.a.;227015;305084;1637009;n.a.;12064528
AHLI UNITED BANK BSC;4683260;n.a.;2891532;7915447;n.a.;74462;25518123;9278162;20742360;487155;951500;1235529;5361529;432417;40280051
AIB GROUP PUBLIC LIMITED COMPANY;1724419;n.a.;n.a.;924558;1404250;8210930;80663480;33415529;68401570;1030158;2332178;3003971;15985980;78638;110724536
AKBANK T.A.S.;7614796;4586288;1674490;2839452;n.a.;9041209;40019304;19795031;38000345;160320;2848925;3523501;9167436;n.a.;65143750
AL AHLI BANK OF KUWAIT (KSC);1472859;n.a.;n.a.;1980059;n.a.;499027;10954533;4836407;10611107;60518;421155;569226;2280023;n.a.;16113167
AL KHALIJ COMMERCIAL BANK P.Q.S.C.;2129978;n.a.;1136236;3043984;329018;1222365;8019536;4185359;8466139;36521;269150;323547;1923960;32057;14771358
ALLY FINANCIAL INC;2863000;0;0;0;12199000;27359000;120751000;3484000;127126000;462000;4258000;7447000;14416000;393000;180644000
ALM. BRAND A/S;49581;n.a.;n.a.;125526;n.a.;112494;1571623;4630986;825956;28011;98713;392756;685451;n.a.;6261028
ALPHA BANK AE;3743943;1308705;7072377;11527524;n.a.;1453558;45345231;14596128;44111721;553101;1738201;2606506;9521477;n.a.;71288282
AMERICAN EXPRESS COMPANY;20694000;87000;0;0;15134000;49926000;75407000;24307000;146380000;3582000;8620000;43579000;23128000;3315000;198314000
AMERIPRISE FINANCIAL, INC.;n.a.;n.a.;n.a.;n.a.;750000;2791000;14430000;6213000;5243000;1280000;-1019000;12084000;5729000;1167000;151828000
AMERIS BANCORP;375864;24413;20635;20635;1135880;432650;14027070;622098;14437021;1126258;505166;694848;2469584;931637;18242600
AMMB HOLDINGS BERHAD;195459;n.a.;1476516;3805841;n.a.;1579300;26256063;11151500;24625434;758049;450579;982108;4546203;653042;39326690
AMUNDI SA;1331733;n.a.;n.a.;917508;n.a.;535654;n.a.;14042297;n.a.;6961533;-15022;3013529;9998587;6416573;27255221
ANNALY CAPITAL MANAGEMENT INC;n.a.;n.a.;101740728;101740728;1469833;2985867;n.a.;1850729;11464810;470850;1002422;-2026351;15796344;71815;130295081
AOZORA BANK LTD;1271196;653275;2843450;3199733;434591;6325161;30815631;5542447;26681905;176725;448850;1125649;3907617;n.a.;48756349
ARAB BANK PLC;4572149;n.a.;n.a.;3761895;3082753;428816;33154995;11592656;23990249;29820;1341291;2230830;9102451;n.a.;51214844
ARAB NATIONAL BANK PUBLIC JOINT STOCK COMPANY;2781598;2230133;n.a.;821915;n.a.;741021;37901041;4663006;31689901;n.a.;1480784;1798963;7558210;n.a.;48917996
ARION BANKI HF;148200;n.a.;n.a.;49414;n.a.;2682312;4070322;1771140;6391041;69092;250347;396350;1567506;5524;8933568
ASIA COMMERCIAL JOINT-STOCK BANK;1310369;n.a.;n.a.;831292;35927;870442;13307251;1717326;11494919;45309;523090;697189;1199109;n.a.;16562922
ASSOCIATED BANC-CORP.;215364;7740;433097;433097;637562;3174142;23779000;588744;22771309;1331837;835674;1216198;3922125;1176230;32386500
ATLANTIC UNION BANKSHARES CORPORATION;274464;38172;66053;66053;431703;1082044;13308520;437514;12624011;1009229;537969;670683;2513107;935560;17563500
ATTIJARIWAFA BANK;2534732;96093;2617331;4913569;n.a.;3816823;34889381;16321160;33652040;1341150;1557003;2448199;5621173;1033372;55518673
AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED;49602450;27186997;5351282;65007717;7971919;87528455;370073989;149318249;415237621;3280689;9677391;12677996;41029870;2339878;662169357
