Name;LoansAdvances;AssetRepos;LiabilityRepos;BankDeposits;OtherDepositsShortBorrowings;LongFunding;CustomerDeposits;LiquidAssets;Loans;Intangibles;NetInterestIncome;OperatingIncome;Equity;TotalAssetes
MITSUBISHI UFJ FINANCIAL GROUP, INC;276338418;253625556;301294886;335067656;181679316;379957244;1726067686;1084234840;997000688;13784793;35338557;43676340;155066583;3096332940
HSBC HOLDINGS PLC;364169000;290010000;197548000;261387000;62890000;81418000;1439115000;1179663000;1041299000;20163000;54695000;58452000;192668000;2715152000
JPMORGAN CHASE & CO;632531000;388915000;183675000;183675000;90833000;267931000;1562431000;1015647000;980365000;53341000;84390000;116211000;261533000;2687380000
JAPAN POST HOLDING CO LTD;133694816;119927318;196551516;196551516;2519559;1180534;1668609616;2385129475;97658136;2683496;NA;109937299;116069691;2632000541
BANK OF AMERICA CORPORATION;412113000;274597000;165109000;165109000;101396000;216706000;1434806000;682918000;1019182000;72157000;72011000;90364000;264844000;2434080000
BNP PARIBAS;241677011;218537220;244528199;335415741;NA;204199268;936345914;627079552;905389508;13108953;41933146;50758576;125646657;2431838268
SUMITOMO MITSUI FINANCIAL GROUP, INC;153808119;126576996;143730640;178142223;123284632;241829272;1168741687;747381783;754723227;6932650;22597646;34838060;99217133;2022663529
CREDIT AGRICOLE SA;614021152;128848346;117473923;247450162;NA;251878605;724980479;1226479654;443840678;20718864;28205200;23051042;79585016;1985769888
MIZUHO FINANCIAL GROUP;215765877;191579114;175523033;196342500;135686849;137989352;1206896757;643060537;763971866;5852245;18532107;21405907;79704189;1974784585
CITIGROUP INC;425716000;251322000;166339000;166339000;82104000;215050000;1070646000;668918000;705334000;26948000;76510000;74717000;193946000;1951160000
JAPAN POST BANK CO LTD;101489028;90564750;157083796;157083796;NA;97617;1683550969;576790627;45636635;435308;12123570;12983873;82826636;1940302569
WELLS FARGO & COMPANY;225074000;104974000;92403000;92403000;51507000;194090000;1322960000;354976000;973227000;41920000;66620000;85256000;187984000;1927550000
BANCO SANTANDER SA;45995360;NA;NA;171845352;98457010;229672360;886865768;412128224;1053100861;31103572;63792261;57705680;124314304;1710595340
SOCIETE GENERALE;211000331;168088703;130246979;245666203;NA;159392465;460427677;515650643;508965291;7852565;26638057;27570479;77031528;1523670592
BARCLAYS PLC;253436524;240808393;276082921;296572143;34935994;91145876;525365178;734210909;409048329;10653346;20280590;28464470;86155769;1496151484
DEUTSCHE BANK AG;115446186;97654902;51785363;138125382;42245451;119191601;556477241;458080895;479490649;7896378;28252383;26779606;69830535;1457806782
LLOYDS BANKING GROUP PLC;84880359;73683783;50757899;64465930;25310061;127769294;540330249;382040346;591834761;8046104;22124161;24089762;62728643;1094192701
ROYAL BANK OF CANADA;274266709;245129172;184484037;204082061;NA;7458206;653658035;449441476;470255305;12089665;31408054;31851823;63544831;1085816837
TORONTO DOMINION BANK;145530391;126090422;95635256;108363979;NA;18853343;661265938;351240111;521583571;14801671;31914133;29737081;66642095;1075448296
ING GROEP NV;96915705;67490493;48360117;87483640;58202223;95556392;645317948;216545432;689823680;2153558;31966343;20396448;61407283;1001785079
GOLDMAN SACHS GROUP, INC;343338000;221469000;132590000;132590000;53592000;221076000;189690000;695318000;145108000;4838000;21743000;36788000;92059000;992996000
UBS AG;119914000;107534000;39194000;45764000;47183000;51371000;450590000;433219000;339430000;6469000;14717000;29422000;53928000;971916000
UNICREDIT SPA;114214940;NA;NA;152301565;NA;108184529;531331059;276586661;589553503;3145520;16618454;20713247;69409260;961233715
NATWEST GROUP PLC;78246129;64220558;64812337;91702227;NA;71858583;484507452;222489466;429003507;8689057;14925706;15707748;57152005;948735625
INTESA SANPAOLO;55076925;NA;NA;116074166;NA;95350809;372048687;362179619;470466378;10347636;11450815;20216704;63151923;916808867
MORGAN STANLEY;260244000;194773000;62705000;62705000;31943000;180160000;190356000;502446000;172309000;9251000;19073000;41518000;82697000;895429000
BANK OF NOVA SCOTIA (THE) - SCOTIABANK;126895133;99679328;94287991;129803948;2045593;5510638;521771261;280857894;450215032;13271276;24911853;23582066;53337384;825350280
BANCO BILBAO VIZCAYA ARGENTARIA SA;15362493;2070426;3626335;62050991;2187260;85123377;431030549;223098224;430773291;7824480;34893923;29825143;61703860;784908244
STANDARD CHARTERED PLC;121791000;69583000;56042000;84604000;NA;70527000;405357000;325642000;271064000;5290000;16549000;15717000;50661000;720398000
COMMONWEALTH BANK OF AUSTRALIA;14402575;8805455;13208873;29371572;13941278;15524351;426676558;80496738;522255714;5508596;23921070;16333523;48169267;675349040
AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED;49602450;27186997;5351282;65007717;7971919;87528455;370073989;149318249;415237621;3280689;20973867;12677996;41029870;662169357
BANK OF MONTREAL;87772034;81702885;69744679;87841943;NA;5315349;413622328;249434643;323779626;6659574;19872340;17306230;38811549;647564571
NORDEA BANK ABP;9566873;NA;2582696;38873005;49750886;180287702;186962944;144757935;362566069;4150962;8358095;9690447;35418551;623316162
WESTPAC BANKING CORPORATION;8613749;8613749;9375036;9375036;NA;137195696;380135398;87973889;482398270;8067080;22421528;13894841;44210674;611881883
NATIXIS SA;159103751;107226269;115756244;188819924;49429594;9560133;34110913;283045087;76686644;5175503;4435183;10421106;23395925;576495103
NATIONAL AUSTRALIA BANK LIMITED;54212017;38640724;22592277;45723125;NA;119152919;313095556;130626219;401234796;3763242;19709105;11737186;37527139;571723984
DANSKE BANK A/S;64223101;51934271;57636873;72491499;1621205;55588160;144479845;133750206;273668718;1372849;9683339;7207118;25540826;563377222
RESONA HOLDINGS, INC;5344048;NA;4898188;5538813;20787922;10772825;486752353;149456629;335651631;457866;4399743;6402549;21311335;556692328
COMMERZBANK AG;28491667;NA;NA;49923889;NA;50008144;297754884;136304351;277294403;3429740;9858957;10240913;34451303;520848615
SUMITOMO MITSUI TRUST HOLDINGS, INC;19039623;18044334;14341482;15656790;97613444;79967114;282326781;140459094;272089890;1190938;4501987;9396633;23835383;519784305
SUMITOMO MITSUI TRUST BANK LIMITED;19039623;18044334;14341482;15656790;98800197;79963775;282585474;139968055;272089890;928381;4524030;8636403;20354076;517837111
US BANCORP;17897000;1036000;1993000;1993000;23873000;36396000;361916000;25278000;297660000;12878000;17494000;22886000;52483000;495426000
CANADIAN IMPERIAL BANK OF COMMERCE;55694527;45421731;40746959;49275834;NA;3559270;360553181;141391333;295547864;5636778;15727203;14142097;29316109;495139803
HBOS PLC;120056477;NA;20285839;229118448;NA;20430176;199243417;124114956;339555553;607525;11262183;8259984;17248212;485070364
TRUIST FINANCIAL CORPORATION;16387000;1417000;2228000;2228000;21092000;35163000;334727000;26177000;306666000;29926000;9409000;12561000;66558000;473078000
CAIXABANK, SA;5788879;NA;2692789;24866456;789750;46662660;246698608;45023619;249754255;4312732;7925586;10693643;28254630;439714430
DBS GROUP HOLDINGS LTD;31677554;2479216;1494953;19141182;22621735;23699526;300095762;89884207;265650244;3837589;11573635;10795725;38449377;429740213
ABN AMRO BANK NV;23576793;18276592;9909510;23611618;NA;94990198;263988855;106118597;301185748;199965;11296909;9548899;24120518;421335609
PNC FINANCIAL SERVICES GROUP INC;25835210;2422410;6299030;6299030;20796100;34882719;288555830;34127750;238193160;11084680;13762365;17821543;49342459;410373000
NOMURA HOLDINGS INC;146339582;146339582;159251413;159251413;60731612;71533259;NA;287978317;47073718;1185041;7308850;11847553;25126625;404782121
CAPITAL ONE FINANCIAL CORPORATION;9658710;0;313757;313757;16931100;40294450;262705043;13715650;259001183;15127152;28512736;28591240;58010498;390365000
BANK OF NEW YORK MELLON CORPORATION;139716000;30182000;11401000;11401000;16887000;25284000;259529000;153476000;54534000;20493000;7557000;16463000;41728000;381508000
SHINKIN CENTRAL BANK;1917525;203818;18587498;19012439;202585;49557619;286787931;129905589;77617786;205262;1906182;1515538;14262061;375971457
OVERSEA-CHINESE BANKING CORPORATION LIMITED OCBC;15435148;166381;NA;6123575;13266061;8765892;224800403;81206766;194736196;3696481;8979856;8349214;36076896;364972194
CREDIT INDUSTRIEL ET COMMERCIAL SA - CIC;48822958;17805888;20670557;94161129;NA;36212794;190194965;121305840;210762170;238161;6227005;5911330;17595812;352556576
UNICREDIT BANK AG;57875314;49510478;43278979;88732861;NA;33295325;129580803;145018564;136732366;16851;4172307;5643961;21249108;341061949
SVENSKA HANDELSBANKEN AB;3051843;1122773;NA;15913993;NA;157376038;115689567;58423967;245412233;1202779;5849365;4792189;17187530;330096564
KBC GROEP NV/ KBC GROUPE SA;34818655;28754543;2880397;23922800;NA;20693025;207544753;86017603;175043672;1842376;8139032;8604119;22878038;326611656
DNB ASA;11726765;NA;NA;23095900;NA;100804555;110427903;83389407;189884850;621185;7442938;6199089;27591685;318142821
SKANDINAVISKA ENSKILDA BANKEN AB;24856279;19947845;906305;9988816;31080081;66003892;124379146;73537362;177804242;880174;4486574;5391266;16743196;307189571
UNITED OVERSEAS BANK LIMITED UOB;39222056;NA;NA;11357878;6479124;12356191;230645845;81609522;197044179;3078830;9320686;7482976;29590206;300184524
CHARLES SCHWAB CORPORATION;35009000;9012000;0;0;1944000;6730000;220108000;43931000;37691000;1355000;7433000;10749000;21745000;294005000
MITSUBISHI UFJ SECURITIES HOLDINGS CO, LTD;122515588;122515588;95684566;95684566;46257168;16288676;NA;199092629;2481849;982769;1497857;2978878;8755732;293156873
SWEDBANK AB;9906014;5512243;2473;7495725;13847494;81610120;102587721;52519652;172661274;1921005;3803512;4942307;14907896;258968737
