Name;Country ISO code;TotalAssetes;LoansAdvances;AssetRepos;LiabilityRepos;BankDeposits;OtherDepositsShortBorrowings;LongFunding;CustomerDeposits;LiquidAssets;Loans;Intangibles;NetInterestIncome;OperatingIncome;Equity
BMO CAPITAL MARKETS LIMITED;GB;2202538,679;384614,4724;383134,4981;72643,15098;301418,4049;n.a.;n.a.;n.a.;1961096,815;n.a.;1119,700333;-18994,73122;73905,40575;194238,2009
SWEDBANK HYPOTEK AB;SE;123216800,2;9587710,819;n.a.;n.a.;50715967,43;n.a.;63469400,37;n.a.;9587710,819;110682846,1;n.a.;1388599,13;1389674,48;4964782,252
HUA NAN COMMERCIAL BANK;TW;88316929,42;2818430,243;16607,9849;747978,0012;4657456,226;n.a.;1504477,128;73947406,72;13060749,78;56155166,64;20914,73433;837994,309;1358596,973;6565272,783
MEGA INTERNATIONAL COMMERCIAL BANK CO LTD;TW;110751773,3;11168789,46;250235,1326;1063291,755;15490797,91;n.a.;462636,9434;81748290,56;34861488,08;63218668,7;16677,14055;1130612,953;1825623,373;9688438,821
NATIONWIDE BUILDING SOCIETY;GB;306590991,8;4494276,535;n.a.;n.a.;26960715,01;5539974,541;S;197386005;44204843,71;249390322;1531465,519;3473299,522;3756354,893;16021675,59
SHINHAN BANK;KR;339197658,8;2036711,895;n.a.;89384,1781;570742,7958;n.a.;47240410,04;248415333,3;62024151,82;233691853,2;566893,2535;5071503,783;7032748,411;22536807,18
DNB BANK ASA;NO;281394074,2;21701935,97;10179726,53;5114578,529;28141571,43;n.a.;100389064,9;111335989,6;81809338,47;185142366,9;426423,6853;4545330,244;5888496,516;26152619,29
ING BANK NV;NL;1001971564;96912335,18;67490493,01;48360116,9;87483640,21;n.a.;125808426,2;681240905,3;216554419,6;695138484,9;2152434,12;15810729,54;20514404,73;53717610,8
THE NORINCHUKIN BANK;JP;970395700,4;9939816,35;120036,8027;144678689,4;144678689,4;23180331,99;33841657,1;625998752;681813979,3;184533815;488509,6764;841315,5764;3381076,473;66804721,71
MIZUHO BANK LTD;JP;1782295195;169527218,4;140148542,1;131195404,7;142461550,4;119110592,9;122981651;1179610206;547594821,1;746998388,2;3776329,477;6508325,891;16299742,97;70489882,83
SUMITOMO MITSUI BANKING CORPORATION;JP;1895948851;115042129,1;84640784,89;105993573,1;132861458,1;124664576,5;232343246,3;1174093831;670559682,7;775350652,3;2949604,517;9674526,552;18241619,76;76985724,82
NATIONAL BANK OF GREECE SA;GR;72176193,8;3340991,165;196594,9744;561699,9269;4998005,949;n.a.;3006218,009;49034156,81;10820587,39;39249344,09;225803,3706;1436828,413;2250169,907;5928181,028
EUROBANK ERGASIAS SERVICES AND HOLDINGS SA;GR;72752497,93;3378063,36;2881520,625;224679,9707;8000853,758;n.a.;2919716,22;50149692,87;15317557,01;49950851,1;424645,1447;1546921,599;2145693,721;7489706,825
PIRAEUS BANK SA;GR;68786896,44;1509849,403;1106548,856;2689419,25;3702725,918;n.a.;1161595,449;53194106,47;8010964,357;56392425,86;322415,758;1632299,987;2127719,323;8732187,063
ALPHA BANK AE;GR;71288282,15;3743943,458;1308704,66;7072377,26;11527523,82;n.a.;1453558,084;45345230,74;14596127,59;54642472,2;553101,4244;1738200,645;2606505,6;9521476,566
MACQUARIE BANK LTD;AU;139638995,1;28130215,54;23284692,52;1433835,155;1433835,155;n.a.;32206333,48;41528731,99;42786579,63;54591328,4;114237,5124;1259700,136;4244695,459;8785173,45
NATIONAL AUSTRALIA BANK LIMITED;AU;615954188,5;70027991,73;46275196,36;18957740,23;54892932,58;15472689,04;95339570,96;357084472,2;160423239,6;421046498,9;2707436,262;9863768,182;12234996,16;43567049,3
AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED;AU;740856632;58404283,36;35476726,51;6613280,908;85212096,07;6498131,348;85059984,92;415714079,1;189968342,2;442170046;3112592,121;9986025,739;13115677,05;43569892,5
WESTPAC BANKING CORPORATION;AU;648210992,2;17897227;17897227;21333233,01;21333233,01;n.a.;123873916,3;420175769,2;118084452,3;496608066,7;8172064,768;11867512,69;14338252,63;48386982,43
COMMONWEALTH BANK OF AUSTRALIA;AU;695949236,5;17435447,96;11569643,05;11582682,75;22857903,15;8556786,66;108996084,9;470199133;117314039,3;533797854,8;4765666,231;12772040,4;15941373,16;49422511,85
COMMERZBANK AG;DE;520848614,6;28491667,09;n.a.;n.a.;49923889,5;n.a.;50008144,49;297754884,4;136304351;279687244,6;3429739,753;5700130,858;10240913,07;34451303,31
DEUTSCHE BANK AG;DE;1457806782;115446186;97654902,48;51785363,06;138125382,2;42245451,5;119191601,1;556477240,9;458080894,5;484004469,6;7896377,572;15445624,59;26779605,71;69830534,91
WUESTENROT & WUERTTEMBERGISCHE AG;DE;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
AAREAL BANK AG;DE;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
BANKINTER SA;ES;94064904,12;1853198,594;324108,7216;408832,1684;9789451,244;104659,3006;10375714,31;62828927,34;19166411,41;67264416,65;440300,8451;1337567,049;2473591,67;5392278,855
CAIXABANK, S.A.;ES;439714430,3;5788879,446;n.a.;2692789,449;24866455,76;789750,0972;46662659,72;246698607,9;45023619,34;255031988;4312732,038;5561952,676;10693643,21;28254629,72
BANCO BILBAO VIZCAYA ARGENTARIA SA;ES;784908243,8;15362493;2070425,93;3626334,728;62050990,92;2187259,515;85123377,11;431030549,5;223098223,7;444792197,7;7824479,981;20448124,14;29825142,72;61703860,36
BANCO SANTANDER SA;ES;1710595340;45995360,21;n.a.;n.a.;171845352,2;98457009,98;229672359,7;886865767,7;412128223,5;1078087521;31103571,75;39636917,04;57705680,29;124314304,4
BANCA MONTE DEI PASCHI DI SIENA SPA;IT;148508974,9;17662546,35;n.a.;n.a.;22668116,15;n.a.;19595747,87;85970329,61;34805760,68;106277560,3;197827,344;1674263,466;3680952,182;9302748,368
MEDIOBANCA - BANCA DI CREDITO FINANZIARIO SOCIETA PER AZIONI;IT;88407794,98;6643707,694;n.a.;n.a.;14345001,06;n.a.;22124868,52;29532711,71;21372492,04;57803974,89;913751,9085;1614409,333;2721362,488;10906928,82
INTESA SANPAOLO;IT;916808867,4;55076924,63;n.a.;n.a.;116074166,5;n.a.;95350809,38;372048687;362179619,2;491789630,6;10347636,05;7778420,587;20216703,77;63151922,78
UNICREDIT SPA;IT;961233714,6;114214939,7;n.a.;n.a.;152301565;n.a.;108184529,3;531331058,6;276586661;610926185;3145519,59;11539563,3;20713246,5;69409259,96
BINCKBANK NV;NL;5693567,956;246065,0104;n.a.;n.a.;5720,352055;n.a.;4289,140641;4983169,207;3255566,717;1478364,999;173943,8631;31505,7489;156565,9908;471302,1874
VAN LANSCHOT KEMPEN NV;NL;16085797,37;334274,3669;195808,5945;n.a.;159202,6103;n.a.;1998189,073;10722958,33;5005114,823;9730509,824;158748,7567;196479,2642;626272,9504;1479034,545
ABN AMRO BANK NV;NL;421335608,7;23576792,73;18276592,22;9909510,11;23611618,13;n.a.;94990198,03;263988855;106118597;303911115,6;199965,174;7266150,254;9548898,757;24120518,26
KBC GROEP NV/ KBC GROUPE SA;BE;326611656,5;34818655,07;28754542,66;2880397,225;23922799,88;n.a.;20693025,31;207544752,8;86017603,4;178250978,2;1842375,76;5188983,924;8604119,48;22878038,02
BANK OF IRELAND GROUP PLC;IE;148157342,9;1905286,152;n.a.;224679,9707;2693912,849;n.a.;12020378,43;93284877,05;41987069,53;90765091,18;941409,0774;2420926,685;3371322,961;11720430,67
BANCO COMERCIAL PORTUGUES, SA;PT;91718192,6;1363641,159;n.a.;48640,96687;7177312,917;199075,4413;3364831,957;66398595,54;23524181,67;59110175;272570,5065;1739616,129;2842738,615;8292099,664
SOCIETE GENERALE;FR;1523670592;211000330,7;168088703,1;130246979;245666203,4;n.a.;159392464,8;460427676,8;515650643,4;521016001,2;7852564,977;12565227,36;27570479,21;77031527,97
CREDIT AGRICOLE S.A.;FR;1985769888;614021151,6;128848346,2;117473922,7;247450162,4;n.a.;251878604,6;724980478,6;1226479654;454190560,9;20718863,5;12856187,93;23051041,6;79585015,84
BNP PARIBAS;FR;2431838268;241677010,5;218537220,3;244528199,4;335415741,1;n.a.;204199268;936345914,3;627079551,5;929178623,2;13108952,89;23734068,71;50758575,59;125646656,6
BANK OF EAST ASIA LTD;HK;111108001,1;7997945,337;n.a.;n.a.;3584820,875;9530628,022;1845383,341;73651856,06;34897650,12;65378836,88;247335,3038;1862077,832;2607679,48;14079619,96
TURKIYE VAKIFLAR BANKASI TAO;TR;72868121,7;6875758,102;5676424,356;4276150,586;5828847,928;n.a.;15893597,85;41154041,18;17127706,35;50290938,71;57484,50322;2324852,288;3309653,324;5703530,174
